Sales Person,Country,Product,Date,Amount,Clean Amount,Boxes Shipped,Price,,
Barr Faughny,USA,Orange Choco,10/03/2022,"$3,703 ",3703,11, $336.64 ,,
Roddy Speechley,USA,Smooth Sliky Salty,05/04/2022,"$3,017 ",3017,140, $21.55 ,,
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2022,"$1,267 ",1267,157, $8.07 ,,
Marney O'Breen,USA,After Nines,30/05/2022,"$4,753 ",4753,163, $29.16 ,,
Husein Augar,USA,Eclairs,07/07/2022,"$4,025 ",4025,112, $35.94 ,,
Roddy Speechley,USA,Manuka Honey Choco,22/07/2022,"$9,583 ",9583,315, $30.42 ,,
Kelci Walkden,USA,After Nines,02/06/2022,$938 ,938,16, $58.63 ,,
Karlen McCaffrey,USA,Raspberry Choco,15/04/2022,"$14,749 ",14749,354, $41.66 ,,
Kaine Padly,USA,Peanut Butter Cubes,16/02/2022,"$6,790 ",6790,188, $36.12 ,,
Van Tuxwell,USA,50% Dark Bites,13/01/2022,"$9,737 ",9737,160, $60.86 ,,
Beverie Moffet,USA,Raspberry Choco,19/04/2022,"$14,798 ",14798,83, $178.29 ,,
Jan Morforth,USA,Peanut Butter Cubes,22/07/2022,"$9,037 ",9037,102, $88.60 ,,
Gigi Bohling,USA,Choco Coated Almonds,02/03/2022,"$12,313 ",12313,103, $119.54 ,,
Camilla Castle,USA,Spicy Special Slims,11/02/2022,"$1,274 ",1274,244, $5.22 ,,
Marney O'Breen,USA,Orange Choco,27/01/2022,"$7,595 ",7595,181, $41.96 ,,
Camilla Castle,USA,White Choc,18/08/2022,"$9,681 ",9681,24, $403.38 ,,
Andria Kimpton,USA,Raspberry Choco,30/06/2022,"$14,504 ",14504,21, $690.67 ,,
Karlen McCaffrey,USA,Orange Choco,12/05/2022,"$11,095 ",11095,401, $27.67 ,,
Van Tuxwell,USA,After Nines,26/07/2022,$630 ,630,264, $2.39 ,,
Marney O'Breen,USA,50% Dark Bites,15/06/2022,"$1,064 ",1064,106, $10.04 ,,
Husein Augar,USA,After Nines,08/04/2022,"$11,571 ",11571,180, $64.28 ,,
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,"$1,456 ",1456,359, $4.06 ,,
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,"$4,151 ",4151,296, $14.02 ,,
Marney O'Breen,USA,Almond Choco,25/02/2022,"$7,798 ",7798,167, $46.69 ,,
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,"$17,318 ",17318,87, $199.06 ,,
Wilone O'Kielt,USA,After Nines,25/04/2022,$392 ,392,30, $13.07 ,,
Barr Faughny,USA,Raspberry Choco,12/04/2022,"$9,282 ",9282,101, $91.90 ,,
Andria Kimpton,USA,85% Dark Bars,05/04/2022,"$8,911 ",8911,82, $108.67 ,,
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,"$9,058 ",9058,46, $196.91 ,,
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,"$12,586 ",12586,6," $2,097.67 ",,
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,"$10,829 ",10829,54, $200.54 ,,
Dotty Strutley,USA,Manuka Honey Choco,10/08/2022,$273 ,273,210, $1.30 ,,
Dennison Crosswaite,USA,Almond Choco,30/06/2022,"$11,718 ",11718,84, $139.50 ,,
Kaine Padly,USA,70% Dark Bites,12/05/2022,"$4,018 ",4018,100, $40.18 ,,
Gigi Bohling,USA,99% Dark & Pure,02/06/2022,$784 ,784,249, $3.15 ,,
Madelene Upcott,USA,After Nines,15/03/2022,"$4,571 ",4571,430, $10.63 ,,
Madelene Upcott,USA,Eclairs,18/03/2022,"$8,883 ",8883,200, $44.42 ,,
Husein Augar,USA,Milk Bars,02/03/2022,$854 ,854,56, $15.25 ,,
Husein Augar,USA,85% Dark Bars,08/08/2022,$378 ,378,54, $7.00 ,,
Mallorie Waber,USA,Manuka Honey Choco,04/07/2022,"$5,425 ",5425,96, $56.51 ,,
Gigi Bohling,USA,50% Dark Bites,13/04/2022,"$2,296 ",2296,59, $38.92 ,,
